id,inventaris_id,polygon,lat,lng,,,,,
58,71,"{""type"":""Polygon"",""coordinates"":[[[112.18119497,-8.087871251,0],[112.181188624,-8.088136619,0],[112.180953328,-8.088099035,0],[112.180986782,-8.087832935,0],[112.18119497,-8.087871251,0]]]}",-8.087987564,112.1810804,,,1,,
59,72,"{""type"":""Polygon"",""coordinates"":[[[112.153842805,-8.123253903,0],[112.15378634,-8.123339574,0],[112.153609156,-8.123296738,0],[112.153591633,-8.123345415,0],[112.153394979,-8.123281162,0],[112.153430026,-8.123133184,0],[112.153842805,-8.123253903,0]]]}",-8.123250096,112.1535922,,,24,,
60,73,"{""type"":""Polygon"",""coordinates"":[[[112.145990017,-8.09881148,0],[112.145657442,-8.098701926,0],[112.145704394,-8.098518031,0],[112.146072182,-8.098627585,0],[112.145990017,-8.09881148,0]]]}",-8.09866386,112.1458581,,,40,,
61,74,"{""type"":""Polygon"",""coordinates"":[[[112.147024493,-8.095319301,0],[112.146970811,-8.095487666,0],[112.146873208,-8.095460825,0],[112.146812206,-8.09560479,0],[112.14662188,-8.095529147,0],[112.146724363,-8.095224138,0],[112.147024493,-8.095319301,0]]]}",-8.095406992,112.1468103,,,36,,
62,75,"{""type"":""Polygon"",""coordinates"":[[[112.158095421,-8.101265879,0],[112.158043951,-8.101552398,0],[112.157858657,-8.101511221,0],[112.157925569,-8.101238429,0],[112.158095421,-8.101265879,0]]]}",-8.101394401,112.157981,,,6,,
63,76,"{""type"":""Polygon"",""coordinates"":[[[112.152261294,-8.102876087,0],[112.152480146,-8.102927897,0],[112.15248104,-8.102920751,0],[112.152611458,-8.102952909,0],[112.152565901,-8.103149429,0],[112.152223776,-8.103053849,0],[112.152261294,-8.102876087,0]]]}",-8.103009006,112.1524191,,,14,,
64,77,"{""type"":""Polygon"",""coordinates"":[[[112.155950575,-8.111909881,0],[112.155877073,-8.112151726,0],[112.155666052,-8.112097193,0],[112.155751409,-8.111852976,0],[112.155950575,-8.111909881,0]]]}",-8.112003851,112.1558106,,,7,,
65,79,"{""type"":""Polygon"",""coordinates"":[[[112.167179933,-8.088933172,0],[112.167066657,-8.089211345,0],[112.16679242,-8.08909659,0],[112.16690161,-8.088818319,0],[112.167179933,-8.088933172,0]]]}",-8.089014607,112.1669854,,,1,,
66,80,"{""type"":""Polygon"",""coordinates"":[[[112.14500351,-8.101482316,0],[112.144969217,-8.101737063,0],[112.144775708,-8.101712568,0],[112.144832046,-8.101452923,0],[112.14500351,-8.101482316,0]]]}",-8.101598573,112.1448942,,,51,,
67,82,"{""type"":""Polygon"",""coordinates"":[[[112.156247255,-8.087423863,0],[112.156167423,-8.087632946,0],[112.15608379,-8.087868639,0],[112.156003959,-8.088039707,0],[112.155859502,-8.088283003,0],[112.155562984,-8.088666955,0],[112.155505962,-8.088678359,0],[112.155505962,-8.088697367,0],[112.155422329,-8.088674558,0],[112.155504137,-8.088371046,0],[112.155409251,-8.08836618,0],[112.15541655,-8.08821047,0],[112.155491972,-8.088188574,0],[112.155499879,-8.088060235,0],[112.155268748,-8.088045029,0],[112.155290036,-8.087850392,0],[112.155332613,-8.087856474,0],[112.155366066,-8.087433747,0],[112.155746217,-8.087476324,0],[112.155962142,-8.087524983,0],[112.156056419,-8.087254316,0],[112.156269304,-8.087327305,0],[112.156247255,-8.087423863,0]]]}",-8.087890669,112.1557223,,,112,,
