id,inventaris_id,polygon,lat,lng,,,,,,,,,,polygon cek gedung,,,,1587E,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170197852,-8.083052885],[112.170160768,-8.083038823],[112.170197963,-8.082948608],[112.170550798,-8.083077906],[112.1705165,-8.083173717],[112.170494619,-8.08316542]]]}",-8.083060327,112.1703577
32,38,"{""type"":""Polygon"",""coordinates"":[[[112.157754931,-8.108725585,0],[112.157605556,-8.109235357,0],[112.157494117,-8.109204534,0],[112.157560506,-8.108910526,0],[112.157261756,-8.108803829,0],[112.157387421,-8.108464772,0],[112.157764415,-8.108592807,0],[112.157728849,-8.108720843,0],[112.157754931,-8.108725585,0]]]}",-8.108779004,112.1575384,,,,44,,,,,,#N/A,,,,1496B,"{""type"":""Polygon"",""coordinates"":[[[112.187104079,-8.089060566],[112.187085557,-8.088953403],[112.187351957,-8.088825503],[112.187376212,-8.088925948],[112.187104079,-8.089060566]]]}",-8.088941938,112.1872287
33,39,"{""type"":""Polygon"",""coordinates"":[[[112.154365918,-8.084069637,0],[112.154317824,-8.084364442,0],[112.154064721,-8.084344146,0],[112.15410666,-8.084042949,0],[112.154365918,-8.084069637,0]]]}",-8.084204575,112.1542135,,,,26,,,,,,#N/A,,,,1496A,"{""type"":""Polygon"",""coordinates"":[[[112.187351957,-8.088825503],[112.187065599,-8.088837928],[112.187043528,-8.08871023],[112.187329188,-8.088731213],[112.187329485,-8.088731233],[112.187351957,-8.088825503]]]}",-8.088776347,112.1871905
34,41,"{""type"":""Polygon"",""coordinates"":[[[112.180655663,-8.09189521,0],[112.180685163,-8.092125763,0],[112.180530772,-8.092181868,0],[112.180495756,-8.092034402,0],[112.180395579,-8.092036962,0],[112.180428889,-8.091364209,0],[112.180802513,-8.091361977,0],[112.180837074,-8.091882025,0],[112.180655663,-8.09189521,0]]]}",-8.09171445,112.1806035,,,,13,,,,,,#N/A,,,,1666C,"{""type"":""Polygon"",""coordinates"":[[[112.187104079,-8.089060566],[112.187082054,-8.089064373],[112.187021503,-8.088714037],[112.187043528,-8.08871023],[112.187104079,-8.089060566]]]}",-8.088887301,112.1870628
35,42,"{""type"":""Polygon"",""coordinates"":[[[112.171156516,-8.098835352,0],[112.171140637,-8.098910659,0],[112.171351359,-8.098928279,0],[112.17131077,-8.099177524,0],[112.171286992,-8.0992291,0],[112.171245384,-8.099278313,0],[112.171183913,-8.099299888,0],[112.17064577,-8.099274077,0],[112.17072723,-8.098827795,0],[112.170906509,-8.098850643,0],[112.170913068,-8.09880552,0],[112.171156516,-8.098835352,0]]]}",-8.099069493,112.1709908,,,,21,,,,,,#N/A,,,,2441D,"{""type"":""Polygon"",""coordinates"":[[[112.18743131,-8.088841428],[112.187381988,-8.088858891],[112.18735629,-8.088781796],[112.18734132,-8.088780915],[112.187329188,-8.088731213],[112.187329164,-8.0887304],[112.187393445,-8.088734485],[112.18743131,-8.088841428]]]}",-8.088788892,112.187382
36,43,"{""type"":""Polygon"",""coordinates"":[[[112.180778766,-8.106623423,0],[112.180718757,-8.106784499,0],[112.180333437,-8.106664482,0],[112.180391867,-8.106492351,0],[112.180581368,-8.106550781,0],[112.180601898,-8.106566572,0],[112.180778766,-8.106623423,0]]]}",-8.106639782,112.1805533,,,,25,,,,,,#N/A,,,,1567F,"{""type"":""Polygon"",""coordinates"":[[[112.187381988,-8.088858891],[112.18743131,-8.088841428],[112.187451254,-8.088897758],[112.187401933,-8.088915221],[112.187381988,-8.088858891]]]}",-8.088878324,112.1874166
37,44,"{""type"":""Polygon"",""coordinates"":[[[112.164867961,-8.09931991,0],[112.164659744,-8.100136161,0],[112.164295536,-8.100045014,0],[112.16431932,-8.099947294,0],[112.164077326,-8.099885165,0],[112.164203571,-8.099060462,0],[112.164751165,-8.099106696,0],[112.164815329,-8.099139589,0],[112.164854342,-8.099188608,0],[112.164872356,-8.099242523,0],[112.164867961,-8.09931991,0]]]}",-8.09955503,112.1644748,,,,49,,,,,,#N/A,,,,1567E,"{""type"":""Polygon"",""coordinates"":[[[112.187098743,-8.088714286],[112.187043528,-8.08871023],[112.187044506,-8.088696916],[112.187099721,-8.088700972],[112.187098743,-8.088714286]]]}",-8.088705601,112.1870716
38,45,"{""type"":""Polygon"",""coordinates"":[[[112.171441717,-8.098563604,0],[112.171409138,-8.098788587,0],[112.171216151,-8.09874772,0],[112.171229933,-8.098673634,0],[112.171253448,-8.098678141,0],[112.171279124,-8.098529806,0],[112.171441717,-8.098563604,0]]]}",-8.098661895,112.1713376,,,,14,,,,,,#N/A,,,,1294A,"{""type"":""Polygon"",""coordinates"":[[[112.189638058,-8.077573859],[112.189667338,-8.077581666],[112.18954179,-8.078052472],[112.189515413,-8.078045359],[112.189509191,-8.078068691],[112.189425315,-8.078046994],[112.189557232,-8.077552305],[112.189638058,-8.077573859]]]}",-8.077811317,112.1895466
39,46,"{""type"":""Polygon"",""coordinates"":[[[112.179892845,-8.107398801,0],[112.179812307,-8.107605674,0],[112.179430145,-8.107468285,0],[112.179512263,-8.107261412,0],[112.179892845,-8.107398801,0]]]}",-8.107433578,112.1796618,,,,42,,,,,,#N/A,,,,1294B,"{""type"":""Polygon"",""coordinates"":[[[112.189607931,-8.078136981],[112.189632595,-8.078044493],[112.189728749,-8.078070134],[112.189704086,-8.078162622],[112.189607931,-8.078136981]]]}",-8.078103558,112.1896683
40,47,"{""type"":""Polygon"",""coordinates"":[[[112.180419344,-8.105993645,0],[112.180382606,-8.106121142,0],[112.18015485,-8.106056408,0],[112.180205788,-8.105917339,0],[112.180419344,-8.105993645,0]]]}",-8.106021964,112.1802885,,,,22,,,,,,#N/A,,,,2461C,"{""type"":""Polygon"",""coordinates"":[[[112.1896246,-8.078074475],[112.189607931,-8.078136981],[112.189498745,-8.078107865],[112.189515413,-8.078045359],[112.1896246,-8.078074475]]]}",-8.07809117,112.1895617
41,48,"{""type"":""Polygon"",""coordinates"":[[[112.157726941,-8.088788095,0],[112.157536826,-8.089257612,0],[112.157376823,-8.089208513,0],[112.157446915,-8.089013483,0],[112.157326489,-8.088937226,0],[112.157445914,-8.088690876,0],[112.157726941,-8.088788095,0]]]}",-8.088949858,112.1575182,,,,2,,,,,,#N/A,,,,1568D,"{""type"":""Polygon"",""coordinates"":[[[112.189820682,-8.077725386],[112.189642015,-8.077677741],[112.189667635,-8.077581666],[112.189846302,-8.077629311],[112.189820682,-8.077725386]]]}",-8.077653526,112.1897442
